Product_Name,Selling_Price,Original_Price,Specs,Ratings
Thomson 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV with Dolby Vision & Atmos,"₹25,499","₹41,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 6 Months Warranty on Accessories,4.5
SONY Bravia X74L 138.8 cm (55 inch) Ultra HD (4K) LED Smart Google TV,"₹54,990","₹99,900",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty,4.6
Mi X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with 4K Dolby Vision | HDR 10 | Dolby A...,"₹24,999","₹42,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.3
KODAK 108 cm (43 inch) Full HD LED Smart Linux TV 2024 Edition with 30W Sound Output & Bezel-Less Desi...,"₹14,999","₹22,999",Operating System: LinuxFull HD 1920 x 1080 PixelsLaunch Year: 20241 Year Warranty on Product and 6 Months Warranty on Accessories,4.3
SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV,"₹24,990","₹37,900",Operating System: TizenFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel,4.3
iFFALCON by TCL 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos Vision & HDR10,"₹20,990","₹59,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty,4.2
Mi X Pro 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with 4K Dolby Vision IQ | HDR10+ | Dolby A...,"₹30,990","₹49,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.3
Sansui 109 cm (43 inch) Full HD LED Smart Google TV,"₹20,499","₹39,990",Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Comprehensive Warranty on Product and 2 Years Warranty on Panel,4.2
SAMSUNG New D Series Brighter Crystal Vivid (2024 Edition) 138 cm (55 inch) Ultra HD (4K) LED Smart Ti...,"₹43,990","₹64,900",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),4.3
Blaupunkt 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Far-Field Mic,"₹33,268","₹59,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Warranty on Product and 6 Months on Accessories,4.5
SONY Bravia X64L 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV,"₹37,990","₹59,900",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on the Product,4.6
Blaupunkt Cybersound 106 cm (42 inch) Full HD LED Smart Android TV with 40W Speaker,"₹14,999","₹29,999",Operating System: AndroidFull HD 1920 x 1080 PixelsLaunch Year: 20211 Year Warranty on Product & 6 Months on Accessories,4.4
SAMSUNG New D Series Brighter Crystal Vision Pro (2024 Edition) 108 cm (43 inch) Ultra HD (4K) LED Sma...,"₹30,990","₹46,900",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),4.3
Thomson FA Series 106 cm (42 inch) Full HD LED Smart Android TV with Dolby Digital Plus & Android 11,"₹15,499","₹28,499",Operating System: AndroidFull HD 1080 x 1920 PixelsLaunch Year: 20231 Year Warranty on Product and 6 Months Warranty on Accessories,4.3
"LG UQ7550 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV with Alpha75 Gen5 AI Processor 4K, Magic R...","₹34,990","₹47,990",Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable,4.4
KODAK 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Vision & Atmos,"₹31,999","₹59,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Warranty on Product and 6 Months Warranty on Accessories,4.5
SAMSUNG New D Series Brighter Crystal Vision Pro (2024 Edition) 125 cm (50 inch) Ultra HD (4K) LED Sma...,"₹42,990","₹63,900",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),4.3
MOTOROLA EnvisionX 109 cm (43 inch) Full HD LED Smart Google TV with Inbuilt Box Speakers,"₹20,499","₹37,000",Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Warranty,4.2
Mi A series 108 cm (43 inch) Full HD LED Smart Google TV with FHD | Dolby Audio | DTS : HD | DTS Virtu...,"₹22,999","₹35,999",Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.3
SAMSUNG New D Series Brighter Crystal Vivid (2024 Edition) 108 cm (43 inch) Ultra HD (4K) LED Smart Ti...,"₹29,490","₹44,900",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),4.3
Thomson FA Series 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Digital Plus & Android 11,"₹14,999","₹26,999",Operating System: AndroidFull HD 1080 x 1920 PixelsLaunch Year: 20231 Year Warranty on Product and 6 Months Warranty on Accessories,4.3
KODAK 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV Dolby Atmos & HDR 10,"₹21,999","₹31,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20241 Year Warranty on Product & 6 Months Warranty on Accessories,4.5
Mi X Pro 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV with 4K Dolby Vision IQ | HDR10+ | Dolby A...,"₹47,999","₹69,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.3
Mi A Series 108 cm (43 inch) Full HD LED Smart Google TV 2024 Edition,"₹22,999","₹35,999",Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20241 year comprehensive warranty on product and 1 year additional on Panel provided by the brand from the date of purchase,4.3
"LG UR7500 126 cm (50 inch) Ultra HD (4K) LED Smart WebOS TV with Alpha75 Gen6 AI Processor, AI Picture...","₹40,990","₹69,990",Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable,4.4
SAMSUNG New D Series Brighter Crystal Vivid (2024 Edition) 138 cm (55 inch) Ultra HD (4K) LED Smart Ti...,"₹43,990","₹64,900",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),4.3
"LG UQ7550 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV with Alpha75 Gen5 AI Processor 4K, Magic R...","₹45,990","₹71,990",Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable,4.4
Haier 109 cm (43 inch) Full HD LED Smart Google TV,"₹23,990","₹35,990",Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20232 Years Comprehensive Warranty on Product,4.2
SAMSUNG New D Series Brighter Crystal Vision Pro (2024 Edition) 138 cm (55 inch) Ultra HD (4K) LED Sma...,"₹44,990","₹66,900",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),4.3
Mi X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with 4K Dolby Vision | HDR 10 | Dolby A...,"₹24,999","₹42,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.3
SAMSUNG Crystal 4K iSmart Series 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV,"₹27,989","₹52,900",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel provided by the brand from the date of purchase,4.3
"iFFALCON by TCL U64 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with 24W Dolby Audio, HDR10","₹29,999","₹73,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20241 Year Warranty on Product,4.2
KODAK 108 cm (43 inch) Full HD LED Smart Linux TV 2024 Edition with 30W Sound Output & Bezel-Less Desi...,"₹14,999","₹22,999",Operating System: LinuxFull HD 1920 x 1080 PixelsLaunch Year: 20241 Year Warranty on Product and 6 Months Warranty on Accessories,4.3
Blaupunkt 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Far-Field Mic,"₹33,268","₹59,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Warranty on Product and 6 Months on Accessories,4.5
SONY 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2024 Edition,"₹45,590","₹69,900",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20241 Year Warranty,4.6
"LG UR7500 164 cm (65 inch) Ultra HD (4K) LED Smart WebOS TV with Alpha75 Gen6 AI Processor, AI Picture...","₹64,990","₹1,14,990",Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable,4.4
SONY Bravia X75L 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV,"₹41,999","₹69,900",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Manufaturer Warranty on the Product,4.7
Vu Cinema 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2024 Edition,"₹32,999","₹55,000",Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20241 Year Warranty,4.2
ONIDA 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Dolby Atmos Vision & HDR10,"₹30,799","₹45,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on the Product,4.1
Blaupunkt CyberSound G2 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Dolby Vision & 60W Sou...,"₹29,999","₹46,999",Operating System: Google TVUltra HD (4K) 3840 × 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 6 Months Warranty on Accessories,4.5
"TOSHIBA M550MP 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Full Array Local Dimming, Powe...","₹41,999","₹69,999",Operating System: Google TVUltra HD (4K) 3840 × 2160 PixelsLaunch Year: 20232 Year Comprehensive Warranty,4.3
Mi X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with 4K Dolby Vision | HDR 10 | Dolby A...,"₹24,999","₹42,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.3
Coocaa Frameless 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV Matte Display,"₹23,999","₹69,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20241 Year Domestic Warranty,4.3
TCL 189.31 cm (75 inch) QLED Ultra HD (4K) Smart Google TV Hands Free Voice Control |Dolby Vision- Atm...,"₹69,990","₹2,58,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Years Comprehensive Warranty,4.2
KODAK 106 cm (42 inch) Full HD LED Smart Android TV with Android 11 and Dolby Digital Plus,"₹15,499","₹28,499",Operating System: AndroidFull HD 1080 x 1920 PixelsLaunch Year: 20231 Year Warranty on Product and 6 Months Warranty on Accessories,4.4
KODAK CA PRO 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with HDR10+ and Dolby Atmos,"₹30,999","₹44,999",Operating System: Google TVUltra HD (4K) 3840 × 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 6 Months Warranty on Accessories,4.5
TCL 189.31 cm (75 inch) Ultra HD (4K) LED Smart Google TV 2024 Edition with with 24W Dolby Audio and M...,"₹67,990","₹2,54,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Years Warranty on Product,4.1
SAMSUNG Crystal Vision 4K iSmart with Voice Assistant 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen T...,"₹28,989","₹54,900",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel,4.3
Hisense E68N 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision Far Field Voice Control ...,"₹26,999","₹49,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Years Comprehensive Warranty,4.2
MOTOROLA EnvisionX 165 cm (65 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers,"₹40,999","₹63,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty,4.3
TCL 163.83 cm (65 inch) QLED Ultra HD (4K) Smart Google TV Hands Free Voice Control |Dolby Vision- Atm...,"₹55,990","₹1,28,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Years Comprehensive Warranty,4.2
TCL 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV With Hands-Free Voice Control,"₹26,990","₹61,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20232 Years Warranty on Product,4.2
Thomson 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Vision & Dolby Atmos,"₹44,999","₹84,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Warranty on Product and 6 Months Warranty on Accessories,4.5
MOTOROLA EnvisionX 140 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers,"₹31,999","₹56,790",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty,4.3
"Acer Advanced I Series 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Dolby Vision-Atmos, 30W...","₹22,999","₹39,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Comprehensive Warranty from the Date of Purchase,4.1
Blaupunkt Cybersound 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 60W Speaker...,"₹29,599","₹55,999",Operating System: AndroidUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20211 Year Warranty on Product & 6 Months on Accessories,4.5
Thomson Alpha 100 cm (40 inch) Full HD LED Smart Linux TV with 30 W Sound Output & Bezel-Less Design,"₹14,499","₹17,999",Operating System: LinuxFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Warranty on Product and 6 Months Warranty on Accessories,4.4
Dyanora Sigma 108 cm (43 inch) Full HD LED Smart Linux TV with 40 Watt Box Speakers & Bezel-Less Desig...,"₹15,499","₹29,999",Operating System: LinuxFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Manufacturer Warranty from the Date of Purchase,4
SAMSUNG New D Series Brighter Crystal Vision Pro (2024 Edition) 108 cm (43 inch) Ultra HD (4K) LED Sma...,"₹30,990","₹46,900",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),4.3
Thomson FA Series 106 cm (42 inch) Full HD LED Smart Android TV with Dolby Digital Plus & Android 11,"₹15,499","₹28,499",Operating System: AndroidFull HD 1080 x 1920 PixelsLaunch Year: 20231 Year Warranty on Product and 6 Months Warranty on Accessories,4.3
SAMSUNG New D Series Brighter Crystal Vivid (2024 Edition) 125 cm (50 inch) Ultra HD (4K) LED Smart Ti...,"₹42,990","₹61,900",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),4.3
Acer V Series 127 cm (50 inch) QLED Ultra HD (4K) Smart Google TV,"₹30,999","₹59,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20232 Years Comprehensive Warranty from the Date of Purchase,4
Mi A series 108 cm (43 inch) Full HD LED Smart Google TV with FHD | Dolby Audio | DTS : HD | DTS Virtu...,"₹22,999","₹35,999",Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.3
SAMSUNG New D Series Brighter Crystal Vivid (2024 Edition) 108 cm (43 inch) Ultra HD (4K) LED Smart Ti...,"₹29,490","₹44,900",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),4.3
"Infinix Zero 138 cm (55 inch) QLED Ultra HD (4K) Smart Android TV QLED Technology, 1.07 Billion Color,...","₹34,999","₹59,999",Operating System: AndroidUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Domestic Warranty on the Product,4.3
"SENS Dwinci 165 cm (65 inch) QLED Ultra HD (4K) Smart Google TV With LumiSENS Panel, Dolby Vision and ...","₹39,999","₹70,290",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Comprehensive Warranty on Product and Additional 1 Year Warranty on Panel,4.3
